,NO,Text
38,297(3),ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัสเสียแขน ขา มือ เท้า นิ้วหรืออวัยวะอื่นใด
39,297(4),ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัสหน้าเสียโฉมอย่างติดตัว
40,297(5),ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัสแท้งลูก
41,297(6),ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัสจิตพิการอย่างติดตัว
42,297(7),ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัสทุพพลภาพ หรือป่วยเจ็บเรื้อรังซึ่งอาจถึงตลอดชีวิต
43,297(8),ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัสทุพพลภาพหรือป่วยเจ็บด้วยอาการทุกขเวทนาเกินกว่า ยี่สิบวัน หรือจนประกอบกรณียกิจตามปกติไม่ได้เกินกว่ายี่สิบวัน
44,298,ฆ่าบุพการีฆ่าเจ้าพนักงาน ซึ่งกระทำการตามหน้าที่ หรือเพราะเหตุ ที่จะกระทำ หรือได้กระทำการตามหน้าที่ฆ่าผู้ช่วยเหลือเจ้าพนักงานในการที่เจ้าพนักงานนั้นกระทำ ตามหน้าที่ หรือเพราะเหตุที่บุคคลนั้นจะช่วยหรือได้ช่วยเจ้าพนักงาน ดังกล่าวแล้วฆ่าผู้อื่นโดยไตร่ตรองไว้ก่อนฆ่าผู้อื่นโดยทรมานหรือโดยกระทำทารุณโหดร้ายฆ่าผู้อื่นเพื่อตระเตรียมการ หรือเพื่อความสะดวกในการ ที่จะกระทำความผิดอย่างอื่นฆ่าผู้อื่นเพื่อจะเอาหรือเอาไว้ซึ่งผลประโยชน์อันเกิดแต่การที่ ตนได้กระทำความผิดอื่น เพื่อปกปิดความผิดอื่นของตนหรือเพื่อ หลีกเลี่ยงให้พ้นอาญาในความผิดที่ตนได้กระทำไว้
45,299,ผู้ใดเข้าร่วมในการชุลมุนต่อสู้ระหว่างบุคคลแต่สามคนขึ้นไป และบุคคลหนึ่งบุคคลใดไม่ว่าจะเป็นผู้ที่เข้าร่วมในการนั้นหรือไม่ รับ อันตรายสาหัส โดยการกระทำในการชุลมุนต่อสู้นั้น ถ้าผู้ที่เข้าร่วมในการชุลมุนต่อสู้นั้นแสดงได้ว่า ได้กระทำไปเพื่อห้ามการ ชุลมุนต่อสู้นั้น หรือเพื่อป้องกันโดยชอบด้วยกฎหมาย
46,300,ผู้ใดกระทำโดยประมาท และการกระทำนั้นเป็นเหตุให้ ผู้อื่นรับอันตรายสาหัส
47,301,หญิงใดทำให้ตนเองแท้งลูก หรือยอมให้ผู้อื่นทำให้ตนแท้งลูก 
48,302,ผู้ใดทำให้หญิงแท้งลูกโดยหญิงนั้นยินยอม ถ้าการกระทำนั้นเป็นเหตุให้หญิงรับอันตรายสาหัสอย่างอื่นด้วย ถ้าการกระทำนั้นเป็นเหตุให้หญิงถึงแก่ความตาย
49,303,ผู้ใดทำให้หญิงแท้งลูกโดยหญิงนั้นไม่ยินยอม ต้อง ระวางโทษจำคุกไม่เกินเจ็ดปี หรือปรับไม่เกินหนึ่งหมื่นสี่พันบาท หรือทั้งจำทั้งปรับ ถ้าการกระทำนั้นเป็นเหตุให้หญิงรับอันตรายสาหัสอย่างอื่นด้วย ผู้กระทำต้องระวางโทษจำคุกตั้งแต่หนึ่งปีถึงสิบปี และปรับตั้งแต่ สองพันบาทถึงสองหมื่นบาท ถ้าการกระทำนั้นเป็นเหตุให้หญิงถึงแก่ความตาย ผู้กระทำต้อง ระวางโทษจำคุกตั้งแต่ห้าปีถึงยี่สิบปี และปรับตั้งแต่หนึ่งหมื่นบาท ถึงสี่หมื่นบาท 
50,306,ผู้ใดทอดทิ้งเด็กอายุยังไม่เกินเก้าปีไว้ ณ ที่ใดเพื่อให้เด็ก นั้นพ้นไปเสียจากตน โดยประการที่ทำให้เด็กนั้นปราศจากผู้ดูแล
51,307,ผู้ใดมีหน้าที่ตามกฎหมายหรือตามสัญญาต้องดูแลผู้ซึ่ง พึ่งตนตนเองมิได้ เพราะอายุ ความป่วยเจ็บ กายพิการ หรือจิตพิการ ทอดทิ้งผู้ซึ่งพึ่งตนเองมิได้นั้นเสียโดยประการที่น่าจะเป็นเหตุให้เกิด อันตรายแก่ชีวิต
52,308,ผู้ใดทอดทิ้งเด็กอายุยังไม่เกินเก้าปีไว้ ณ ที่ใดเพื่อให้เด็ก นั้นพ้นไปเสียจากตน โดยประการที่ทำให้เด็กนั้นปราศจากผู้ดูแลผู้ใดมีหน้าที่ตามกฎหมายหรือตามสัญญาต้องดูแลผู้ซึ่ง พึ่งตนตนเองมิได้ เพราะอายุ ความป่วยเจ็บ กายพิการ หรือจิตพิการ ทอดทิ้งผู้ซึ่งพึ่งตนเองมิได้นั้นเสียโดยประการที่น่าจะเป็นเหตุให้เกิด อันตรายแก่ชีวิต
53,309,ผู้ใดข่มขืนใจผู้อื่นให้กระทำการใด ไม่กระทำการใดหรือ จำยอมต่อสิ่งใด โดยทำให้กลัวว่าจะเกิดอันตรายต่อชีวิตร่างกาย เสรีภาพ ชื่อเสียงหรือทรัพย์สินของผู้ถูกข่มขืนใจนั้นเอง หรือของผู้อื่น หรือโดยใช้ กำลังประทุษร้ายจนผู้ถูกข่มขืนใจต้องกระทำการนั้น ไม่กระทำการนั้น หรือจำยอมต่อสิ่งนั้น ถ้าความผิดตามวรรคแรกได้กระทำโดยมีอาวุธ หรือโดยร่วมกระทำ ความผิดด้วยกันตั้งแต่ห้าคนขึ้นไป หรือได้กระทำเพื่อให้ผู้ถูกข่มขืนใจทำ ถอน ทำให้เสียหาย หรือทำลายเอกสารสิทธิอย่างใด ถ้ากระทำโดยอ้างอำนาจอั้งยี่หรือซ่องโจร ไม่ว่าอั้งยี่หรือซ่องโจรนั้นจะ มีอยู่หรือไม่
54,310,ผู้ใดหน่วงเหนี่ยวหรือกักขังผู้อื่น หรือกระทำด้วยประการ ใดให้ผู้อื่นปราศจากเสรีภาพในร่างกาย ถ้าการกระทำความผิดตามวรรคแรก เป็นเหตุให้ผู้ถูกหน่วงเหนี่ยวถูกกัก ขัง หรือต้องปราศจากเสรีภาพในร่างกายนั้นถึงแก่ความตายหรือรับอันตราย สาหัส
55,310ทวิ,ผู้ใดหน่วงเหนี่ยวหรือกักขังผู้อื่น หรือกระทำด้วย ประการใดให้ผู้อื่นปราศจากเสรีภาพในร่างกาย และให้ผู้อื่นนั้นกระทำ การใดให้แก่ผู้กระทำหรือบุคคลอื่น
56,311,ผู้ใดกระทำโดยประมาท และการกระทำนั้นเป็นเหตุ ให้ผู้อื่นถูกหน่วงเหนี่ยว ถูกกักขังหรือต้องปราศจากเสรีภาพในร่างกาย ถ้าการกระทำความผิดตามวรรคแรก เป็นเหตุให้ผู้ถูกหน่วงเหนี่ยว ถูกกักขังหรือต้องปราศจากเสรีภาพในร่างกายนั้นถึงแก่ความตาย หรือ รับอันตรายสาหัส
57,312,ผู้ใดเพื่อจะเอาคนลงเป็นทาส หรือให้มีฐานะคล้ายทาส นำเข้าในหรือส่งออกไปนอกราชอาณาจักร พามาจากที่ใด ซื้อ ขาย จำหน่าย รับ หรือหน่วงเหนี่ยวซึ่งบุคคลหนึ่ง 
58,312ทวิ(1),ผู้ใดหน่วงเหนี่ยวหรือกักขังผู้อื่น หรือกระทำด้วย ประการใดให้ผู้อื่นปราศจากเสรีภาพในร่างกาย และให้ผู้อื่นนั้นกระทำ การใดให้แก่ผู้กระทำหรือบุคคลอื่นผู้ใดเพื่อจะเอาคนลงเป็นทาส หรือให้มีฐานะคล้ายทาส นำเข้าในหรือส่งออกไปนอกราชอาณาจักร พามาจากที่ใด ซื้อ ขาย จำหน่าย รับ หรือหน่วงเหนี่ยวซึ่งบุคคลหนึ่ง 
59,312ทวิ(2),ผู้ใดหน่วงเหนี่ยวหรือกักขังผู้อื่น หรือกระทำด้วย ประการใดให้ผู้อื่นปราศจากเสรีภาพในร่างกาย และให้ผู้อื่นนั้นกระทำ การใดให้แก่ผู้กระทำหรือบุคคลอื่นผู้ใดเพื่อจะเอาคนลงเป็นทาส หรือให้มีฐานะคล้ายทาส นำเข้าในหรือส่งออกไปนอกราชอาณาจักร พามาจากที่ใด ซื้อ ขาย จำหน่าย รับ หรือหน่วงเหนี่ยวซึ่งบุคคลหนึ่ง 
60,312ทวิ(3),ผู้ใดหน่วงเหนี่ยวหรือกักขังผู้อื่น หรือกระทำด้วย ประการใดให้ผู้อื่นปราศจากเสรีภาพในร่างกาย และให้ผู้อื่นนั้นกระทำ การใดให้แก่ผู้กระทำหรือบุคคลอื่นผู้ใดเพื่อจะเอาคนลงเป็นทาส หรือให้มีฐานะคล้ายทาส นำเข้าในหรือส่งออกไปนอกราชอาณาจักร พามาจากที่ใด ซื้อ ขาย จำหน่าย รับ หรือหน่วงเหนี่ยวซึ่งบุคคลหนึ่ง 
61,312ตรี,ผู้ใดโดยทุจริตรับไว้ จำหน่าย เป็นธุระจัดหา ล่อไป หรือพาไปซึ่งบุคคลอายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปี แม้ผู้นั้นจะยินยอมก็ตาม ถ้าการกระทำความผิดตามวรรคแรกเป็นการกระทำแก่เด็กอายุยังไม่เกิน สิบห้าปี ผู้กระทำ 
62,313(1),ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวเด็กอายุไม่เกินสิบห้าปีไป ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย
63,313(2),ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวบุคคลอายุกว่าสิบห้าปีไป โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจ ด้วยประการอื่นใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย
64,313(3),ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ หน่วงเหนี่ยวหรือกักขังบุคคลใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย
65,314,ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวเด็กอายุไม่เกินสิบห้าปีไป ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตายผู้ใดเป็นผู้สนับสนุนในการกระทำความผิดตาม ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวบุคคลอายุกว่าสิบห้าปีไป โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจ ด้วยประการอื่นใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตายผู้ใดเป็นผู้สนับสนุนในการกระทำความผิดตาม ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ หน่วงเหนี่ยวหรือกักขังบุคคลใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตายผู้ใดเป็นผู้สนับสนุนในการกระทำความผิดตาม 
66,315,ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวเด็กอายุไม่เกินสิบห้าปีไป ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตายผู้ใดกระทำการเป็นคนกลาง โดยเรียก รับหรือยอมจะรับ ทรัพย์สินหรือประโยชน์อย่างใดที่มิควรได้ จากผู้กระทำความผิดตาม หรือจากผู้ที่จะให้ค่าไถ่ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวบุคคลอายุกว่าสิบห้าปีไป โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจ ด้วยประการอื่นใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตายผู้ใดกระทำการเป็นคนกลาง โดยเรียก รับหรือยอมจะรับ ทรัพย์สินหรือประโยชน์อย่างใดที่มิควรได้ จากผู้กระทำความผิดตาม หรือจากผู้ที่จะให้ค่าไถ่ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ หน่วงเหนี่ยวหรือกักขังบุคคลใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตายผู้ใดกระทำการเป็นคนกลาง โดยเรียก รับหรือยอมจะรับ ทรัพย์สินหรือประโยชน์อย่างใดที่มิควรได้ จากผู้กระทำความผิดตาม หรือจากผู้ที่จะให้ค่าไถ่
67,316,"ผู้ใดเป็นผู้สนับสนุนในการกระทำความผิดตาม ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวเด็กอายุไม่เกินสิบห้าปีไป ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย, ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวบุคคลอายุกว่าสิบห้าปีไป โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจ ด้วยประการอื่นใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย, ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ หน่วงเหนี่ยวหรือกักขังบุคคลใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตายผู้ใดกระทำการเป็นคนกลาง โดยเรียก รับหรือยอมจะรับ ทรัพย์สินหรือประโยชน์อย่างใดที่มิควรได้ จากผู้กระทำความผิดตาม หรือจากผู้ที่จะให้ค่าไถ่ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวเด็กอายุไม่เกินสิบห้าปีไป ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย, ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวบุคคลอายุกว่าสิบห้าปีไป โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจ ด้วยประการอื่นใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย, ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ หน่วงเหนี่ยวหรือกักขังบุคคลใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย"
68,317,ใดโดยปราศจากเหตุอันสมควร พรากเด็กอายุยังไม่เกิน สิบห้าปีไปเสียจากบิดามารดา ผู้ปกครอง หรือผู้ดูแล ผู้ใดโดยทุจริต ซื้อ จำหน่าย หรือรับตัวเด็กซึ่งถูกพรากตามวรรคแรก ต้องระวางโทษเช่นเดียวกับผู้พรากนั้น ถ้าความผิดตาม มาตรานี้ ได้กระทำเพื่อหากำไร หรือเพื่อการอนาจาร 
69,318,ผู้ใดพรากผู้เยาว์อายุกว่าสิบห้าปี แต่ยังไม่เกินสิบแปดปี ไปเสียจากบิดามารดา ผู้ปกครอง หรือผู้ดูแล โดยผู้เยาว์นั้นไม่เต็มใจไปด้วย ผู้ใดโดยทุจริต ซื้อ จำหน่าย หรือรับตัวผู้เยาว์ซึ่งถูกพรากตามวรรคแรก ต้องระวางโทษเช่นเดียวกับผู้พรากนั้น ถ้าความผิดตาม มาตรานี้ ได้กระทำเพื่อหากำไร หรือเพื่อการอนาจาร
70,319,ผู้ใดพรากผู้เยาว์อายุกว่าสิบห้าปี แต่ยังไม่เกินสิบแปดปีไป เสียจากบิดามารดา ผู้ปกครอง หรือผู้ดูแล เพื่อหากำไรหรือเพื่อการอนาจาร โดยผู้เยาว์นั้นเต็มใจไปด้วย ผู้ใดโดยทุจริต ซื้อ จำหน่าย หรือรับตัวผู้เยาว์ซึ่งถูกพราก
71,320,ผู้ใดใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจด้วยประการอื่นใด พาหรือส่งคนออกไปนอกราชอาณาจักร ถ้าการกระทำความผิดตามวรรคแรก ได้กระทำเพื่อให้ผู้ถูกพาหรือ ส่งไปนั้นตกอยู่ในอำนาจของผู้อื่นโดยมิชอบด้วยกฎหมาย หรือเพื่อละทิ้ง ให้เป็นคนอนาถา
72,322,ผู้ใดเปิดผนึกหรือเอาจดหมาย โทรเลขหรือเอกสารใด ๆ ซึ่งปิดผนึกของผู้อื่นไป เพื่อล่วงรู้ข้อความก็ดี เพื่อนำข้อความในจดหมาย โทรเลข หรือเอกสารเช่นว่านั้นออกเปิดเผยก็ดี ถ้าการกระทำนั้นน่าจะเกิด ความเสียหายแก่ผู้หนึ่งผู้ใด
73,323,ผู้ใดล่วงรู้หรือได้มาซึ่งความลับของผู้อื่น โดยเหตุ ที่เป็นเจ้าพนักงานผู้มีหน้าที่ โดยเหตุที่ประกอบอาชีพเป็นแพทย์ เภสัชกร คนจำหน่ายยา นางผดุงครรภ์ ผู้พยาบาล นักบวช หมอความ ทนายความ หรือผู้สอบบัญชีหรือโดยเหตุที่เป็นผู้ช่วยในการประกอบ อาชีพนั้น แล้วเปิดเผยความลับนั้นในประการที่น่าจะเกิดความเสียหาย แก่ผู้หนึ่งผู้ใด ผู้รับการศึกษาอบรมในอาชีพดังกล่าวในวรรคแรก เปิดเผยความลับ ของผู้อื่น อันตนได้ล่วงรู้หรือได้มาในการศึกษาอบรมนั้น ในประการ ที่น่าจะเกิดความเสียหายแต่ผู้หนึ่งผู้ใด
74,324,ผู้ใดโดยเหตุที่ตนมีตำแหน่งหน้าที่ วิชาชีพ หรือ อาชีพอันเป็นที่ไว้วางใจ ล่วงรู้หรือได้มาซึ่งความลับของผู้อื่นเกี่ยว กับอุตสาหกรรม การค้นพบ หรือการนิมิตในวิทยาศาสตร์ เปิดเผยหรือ ใช้ความลับนั้น เพื่อประโยชน์ตนเองหรือผู้อื่น
75,326,ผู้ใดใส่ความผู้อื่นต่อบุคคลที่สาม โดยประการที่น่าจะ ทำให้ผู้อื่นนั้นเสียชื่อเสียง ถูกดูหมิ่นหรือถูกเกลียดชัง ผู้นั้นกระทำ ความผิดฐานหมิ่นประมาท
76,327,ผู้ใดใส่ความผู้ตายต่อบุคคลที่สามและการใส่ความนั้น น่าจะเป็นเหตุให้ บิดา มารดา คู่สมรส หรือบุตรของผู้ตายเสียชื่อเสียง ถูกดูหมิ่นหรือถูกเกลียดชัง ผู้นั้นกระทำความผิดฐานหมิ่นประมาท
77,328,ถ้าความผิดฐานหมิ่นประมาทได้กระทำโดยการโฆษณา ด้วยเอกสาร ภาพวาด ภาพระบายสี ภาพยนตร์ ภาพหรือตัวอักษรที่ ทำให้ปรากฏด้วยวิธีใด ๆ แผ่นเสียง หรือสิ่งบันทึกเสียง บันทึกภาพ หรือบันทึกอักษร กระทำโดยการกระจายเสียง หรือการกระจายภาพ หรือโดยกระทำการป่าวประกาศด้วยวิธีอื่น
78,334,ผู้ใดเอาทรัพย์ของผู้อื่น หรือที่ผู้อื่นเป็นเจ้าของรวม อยู่ด้วยไปโดยทุจริต
79,335,ผู้ใดลักทรัพย์
80,335(1),ผู้ใดลักทรัพย์ ในเวลากลางคืน
81,335(2),ผู้ใดลักทรัพย์ ในที่หรือบริเวณที่มีเหตุเพลิงไหม้ การระเบิด อุทกภัย หรือ ในที่หรือบริเวณที่มีอุบัติเหตุ เหตุทุกขภัยแก่รถไฟ หรือยานพาหนะ อื่นที่ประชาชนโดยสาร หรือภัยพิบัติอื่นทำนองเดียวกันหรืออาศัย โอกาสที่มีเหตุเช่นว่านั้น หรืออาศัยโอกาสที่ประชาชนกำลังตื่นกลัว ภยันตรายใด ๆ
82,335(3),ผู้ใดลักทรัพย์ โดยทำอันตรายสิ่งกีดกั้นสำหรับคุ้มครองบุคคลหรือทรัพย์ หรือโดยผ่านสิ่งเช่นว่านั้นเข้าไปด้วยประการใด ๆ
