NO,TextOnThisLaw
309,"ผู้ใดข่มขืนใจผู้อื่นให้กระทำการใด ไม่กระทำการใดหรือ จำยอมต่อสิ่งใด โดยทำให้กลัวว่าจะเกิดอันตรายต่อชีวิตร่างกาย เสรีภาพ ชื่อเสียงหรือทรัพย์สินของผู้ถูกข่มขืนใจนั้นเอง หรือของผู้อื่น หรือโดยใช้ กำลังประทุษร้ายจนผู้ถูกข่มขืนใจต้องกระทำการนั้น ไม่กระทำการนั้น หรือจำยอมต่อสิ่งนั้น ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับไม่เกิน หกพันบาท หรือทั้งจำทั้งปรับ
ถ้าความผิดตามวรรคแรกได้กระทำโดยมีอาวุธ หรือโดยร่วมกระทำ ความผิดด้วยกันตั้งแต่ห้าคนขึ้นไป หรือได้กระทำเพื่อให้ผู้ถูกข่มขืนใจทำ ถอน ทำให้เสียหาย หรือทำลายเอกสารสิทธิอย่างใดผู้กระทำต้องระวาง โทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งหมื่นบาท หรือทั้งจำทั้งปรับ
ถ้ากระทำโดยอ้างอำนาจอั้งยี่หรือซ่องโจร ไม่ว่าอั้งยี่หรือซ่องโจรนั้นจะ มีอยู่หรือไม่ ผู้กระทำต้องระวางโทษจำคุกตั้งแต่หนึ่งปีถึงเจ็ดปีและปรับ ตั้งแต่สองพันบาทถึงหนึ่งหมื่นสี่พันบาท"
310,"ผู้ใดหน่วงเหนี่ยวหรือกักขังผู้อื่น หรือกระทำด้วยประการ ใดให้ผู้อื่นปราศจากเสรีภาพในร่างกาย ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับไม่เกินหกพันบาท หรือทั้งจำทั้งปรับ
ถ้าการกระทำความผิดตามวรรคแรก เป็นเหตุให้ผู้ถูกหน่วงเหนี่ยวถูกกัก ขัง หรือต้องปราศจากเสรีภาพในร่างกายนั้นถึงแก่ความตายหรือรับอันตราย สาหัส ผู้กระทำต้องระวางโทษดังที่บัญญัติไว้ใน มาตรา 290 มาตรา 297 หรือ มาตรา 298 นั้น"
310ทวิ,ผู้ใดหน่วงเหนี่ยวหรือกักขังผู้อื่น หรือกระทำด้วย ประการใดให้ผู้อื่นปราศจากเสรีภาพในร่างกาย และให้ผู้อื่นนั้นกระทำ การใดให้แก่ผู้กระทำหรือบุคคลอื่น ต้องระวางโทษจำคุกไม่เกินห้าปี และปรับไม่เกินหนึ่งหมื่นบาท
311,"ผู้ใดกระทำโดยประมาท และการกระทำนั้นเป็นเหตุ ให้ผู้อื่นถูกหน่วงเหนี่ยว ถูกกักขังหรือต้องปราศจากเสรีภาพในร่างกาย ต้องระวางโทษจำคุกไม่เกินหนึ่งปี หรือปรับไม่เกินสองพันบาท หรือ ทั้งจำทั้งปรับ
ถ้าการกระทำความผิดตามวรรคแรก เป็นเหตุให้ผู้ถูกหน่วงเหนี่ยว ถูกกักขังหรือต้องปราศจากเสรีภาพในร่างกายนั้นถึงแก่ความตาย หรือ รับอันตรายสาหัส ผู้กระทำต้องระวางโทษดังที่บัญญัติไว้ใน มาตรา 291 หรือ มาตรา 300"
312,ผู้ใดเพื่อจะเอาคนลงเป็นทาส หรือให้มีฐานะคล้ายทาส นำเข้าในหรือส่งออกไปนอกราชอาณาจักร พามาจากที่ใด ซื้อ ขาย จำหน่าย รับ หรือหน่วงเหนี่ยวซึ่งบุคคลหนึ่งบุคคลใดต้องระวางโทษจำคุกไม่เกิน เจ็ดปีและปรับไม่เกินหนึ่งหมื่นสี่พันบาท 
312ทวิ(1),"ถ้าการกระทำความผิดตาม มาตรา 310ทวิ หรือ มาตรา 312 เป็นการกระทำต่อเด็กอายุยังไม่เกินสิบห้าปี ผู้กระทำต้องระวางโทษ จำคุกตั้งแต่สามปีถึงสิบปี และปรับไม่เกินสองหมื่นบาท
ถ้าการกระทำความผิดตามวรรคแรก หรือ มาตรา 310ทวิ หรือ มาตรา 312 เป็นเหตุให้ผู้ถูกกระทำ รับอันตรายแก่กายหรือจิตใจ ผู้กระทำต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงสิบห้าปี และปรับไม่เกินสามหมื่นบาท"
312ทวิ(2),"ถ้าการกระทำความผิดตาม มาตรา 310ทวิ หรือ มาตรา 312 เป็นการกระทำต่อเด็กอายุยังไม่เกินสิบห้าปี ผู้กระทำต้องระวางโทษ จำคุกตั้งแต่สามปีถึงสิบปี และปรับไม่เกินสองหมื่นบาท
ถ้าการกระทำความผิดตามวรรคแรก หรือ มาตรา 310ทวิ หรือ มาตรา 312 เป็นเหตุให้ผู้ถูกกระทำ รับอันตรายสาหัส ผู้กระทำต้องระวางโทษจำคุกตลอดชีวิต หรือจำคุกตั้งแต่สิบเจ็ดปีถึงยี่สิบปี"
312ทวิ(3),"ถ้าการกระทำความผิดตาม มาตรา 310ทวิ หรือ มาตรา 312 เป็นการกระทำต่อเด็กอายุยังไม่เกินสิบห้าปี ผู้กระทำต้องระวางโทษ จำคุกตั้งแต่สามปีถึงสิบปี และปรับไม่เกินสองหมื่นบาท
ถ้าการกระทำความผิดตามวรรคแรก หรือ มาตรา 310ทวิ หรือ มาตรา 312 เป็นเหตุให้ผู้ถูกกระทำ ถึงแก่ความตาย ผู้กระทำต้องระวางโทษประหารชีวิต จำคุกตลอดชีวิต หรือจำคุกตั้งแต่สิบห้าปีถึงยี่สิบปี"
312ตรี,"ผู้ใดโดยทุจริตรับไว้ จำหน่าย เป็นธุระจัดหา ล่อไป หรือพาไปซึ่งบุคคลอายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปี แม้ผู้นั้นจะยินยอม ก็ตาม ต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งหมื่นบาท หรือ ทั้งจำทั้งปรับ
ถ้าการกระทำความผิดตามวรรคแรกเป็นการกระทำแก่เด็กอายุยังไม่เกิน สิบห้าปี ผู้กระทำ ต้องระวางโทษจำคุกไม่เกินเจ็ดปี หรือปรับไม่เกินหนึ่งหมื่น สี่พันบาท หรือทั้งจำทั้งปรับ"
313(1),"ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวเด็กอายุไม่เกินสิบห้าปีไป ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ผู้กระทำต้องระวางโทษประหารชีวิต หรือจำคุก
ตลอดชีวิต
ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย ผู้กระทำต้องระวางโทษประหารชีวิต"
313(2),"ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวบุคคลอายุกว่าสิบห้าปีไป โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจ ด้วยประการอื่นใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ผู้กระทำต้องระวางโทษประหารชีวิต หรือจำคุก
ตลอดชีวิต
ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย ผู้กระทำต้องระวางโทษประหารชีวิต"
313(3),"ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ หน่วงเหนี่ยวหรือกักขังบุคคลใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ผู้กระทำต้องระวางโทษประหารชีวิต หรือจำคุก
ตลอดชีวิต
ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย ผู้กระทำต้องระวางโทษประหารชีวิต"
314,ผู้ใดเป็นผู้สนับสนุนในการกระทำความผิดตาม มาตรา 313 ต้องระวางโทษเช่นเดียวกับตัวการในความผิดนั้น
315,ผู้ใดกระทำการเป็นคนกลาง โดยเรียก รับหรือยอมจะรับ ทรัพย์สินหรือประโยชน์อย่างใดที่มิควรได้ จากผู้กระทำความผิดตาม มาตรา 313 หรือจากผู้ที่จะให้ค่าไถ่ ต้องระวางโทษจำคุกตั้งแต่สิบห้าปี ถึงยี่สิบปีและปรับตั้งแต่สามหมื่นบาทถึงสี่หมื่นบาท หรือจำคุกตลอดชีวิต
316,ผู้ใดกระทำความผิดตาม มาตรา 313 มาตรา 314 หรือ มาตรา 315 จัดให้ผู้ถูกเอาตัวไป ผู้ถูกหน่วงเหนี่ยวหรือผู้ถูกกักขังได้รับ เสรีภาพก่อนศาลชั้นต้นพิพากษา โดยผู้นั้นมิได้รับอันตรายสาหัสหรือตกอยู่ ในภาวะอันใกล้จะเป็นอันตรายต่อชีวิต ให้ลงโทษน้อยกว่าที่กฎหมายกำหนด ไว้ แต่ไม่น้อยกว่ากึ่งหนึ่ง
317,"ผู้ใดโดยปราศจากเหตุอันสมควร พรากเด็กอายุยังไม่เกิน สิบห้าปีไปเสียจากบิดามารดา ผู้ปกครอง หรือผู้ดูแล ต้องระวางโทษจำคุก ตั้งแต่สามปีถึงสิบห้าปี และปรับตั้งแต่หกพันบาทถึงสามหมื่นบาท
ผู้ใดโดยทุจริต ซื้อ จำหน่าย หรือรับตัวเด็กซึ่งถูกพรากตามวรรคแรก ต้องระวางโทษเช่นเดียวกับผู้พรากนั้น
ถ้าความผิดตาม มาตรานี้ ได้กระทำเพื่อหากำไร หรือเพื่อการอนาจาร ผู้นั้นกระทำต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงยี่สิบปี และปรับตั้งแต่ หนึ่งหมื่นบาทถึงสี่หมื่นบาท"
318,"ผู้ใดพรากผู้เยาว์อายุกว่าสิบห้าปี แต่ยังไม่เกินสิบแปดปี ไปเสียจากบิดามารดา ผู้ปกครอง หรือผู้ดูแล โดยผู้เยาว์นั้นไม่เต็มใจไป ด้วยต้องระวางโทษจำคุกตั้งแต่สองปีถึงสิบปี และปรับตั้งแต่สี่พันบาท ถึงสองหมื่นบาท
ผู้ใดโดยทุจริต ซื้อ จำหน่าย หรือรับตัวผู้เยาว์ซึ่งถูกพรากตามวรรคแรก ต้องระวางโทษเช่นเดียวกับผู้พรากนั้น
ถ้าความผิดตาม มาตรานี้ ได้กระทำเพื่อหากำไร หรือเพื่อการอนาจาร ผู้กระทำต้องระวางโทษจำคุกตั้งแต่สามปีถึงสิบห้าปีและปรับตั้งแต่หกพัน บาท ถึงสามหมื่นบาท"
319,"ผู้ใดพรากผู้เยาว์อายุกว่าสิบห้าปี แต่ยังไม่เกินสิบแปดปีไป เสียจากบิดามารดา ผู้ปกครอง หรือผู้ดูแล เพื่อหากำไรหรือเพื่อการอนาจาร โดยผู้เยาว์นั้นเต็มใจไปด้วย ต้องระวางโทษจำคุกตั้งแต่สองปีถึงสิบปี และ ปรับตั้งแต่สี่พันบาทถึงสองหมื่นบาท
ผู้ใดโดยทุจริต ซื้อ จำหน่าย หรือรับตัวผู้เยาว์ซึ่งถูกพรากตามวรรคแรก ต้องระวางโทษเช่นเดียวกับผู้พรากนั้น"
320,"ผู้ใดใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจด้วยประการอื่นใด พาหรือส่งคนออกไปนอกราชอาณาจักร ต้องระวางโทษจำคุกตั้งแต่สองปี ถึงสิบปี หรือปรับตั้งแต่สี่พันบาทถึงสองหมื่นบาท หรือทั้งจำทั้งปรับ
ถ้าการกระทำความผิดตามวรรคแรก ได้กระทำเพื่อให้ผู้ถูกพาหรือ ส่งไปนั้นตกอยู่ในอำนาจของผู้อื่นโดยมิชอบด้วยกฎหมาย หรือเพื่อละทิ้ง ให้เป็นคนอนาถา ผู้กระทำต้องระวางโทษจำคุกตั้งแต่ สามปีถึงสิบห้าปี และปรับตั้งแต่หกพันบาทถึงสามหมื่นบาท"
322,ผู้ใดเปิดผนึกหรือเอาจดหมาย โทรเลขหรือเอกสารใด ๆ ซึ่งปิดผนึกของผู้อื่นไป เพื่อล่วงรู้ข้อความก็ดี เพื่อนำข้อความในจดหมาย โทรเลข หรือเอกสารเช่นว่านั้นออกเปิดเผยก็ดี ถ้าการกระทำนั้นน่าจะเกิด ความเสียหายแก่ผู้หนึ่งผู้ใด ต้องระวางโทษจำคุกไม่เกินหกเดือน หรือปรับ ไม่เกินหนึ่งพันบาท หรือทั้งจำทั้งปรับ
323,"ผู้ใดล่วงรู้หรือได้มาซึ่งความลับของผู้อื่น โดยเหตุ ที่เป็นเจ้าพนักงานผู้มีหน้าที่ โดยเหตุที่ประกอบอาชีพเป็นแพทย์ เภสัชกร คนจำหน่ายยา นางผดุงครรภ์ ผู้พยาบาล นักบวช หมอความ ทนายความ หรือผู้สอบบัญชีหรือโดยเหตุที่เป็นผู้ช่วยในการประกอบ อาชีพนั้น แล้วเปิดเผยความลับนั้นในประการที่น่าจะเกิดความเสียหาย แก่ผู้หนึ่งผู้ใด ต้องระวางโทษจำคุกไม่เกินหกเดือน หรือปรับไม่เกิน หนึ่งพันบาท หรือทั้งจำทั้งปรับ
ผู้รับการศึกษาอบรมในอาชีพดังกล่าวในวรรคแรก เปิดเผยความลับ ของผู้อื่น อันตนได้ล่วงรู้หรือได้มาในการศึกษาอบรมนั้น ในประการ ที่น่าจะเกิดความเสียหายแต่ผู้หนึ่งผู้ใด ต้องระวางโทษเช่นเดียวกัน "
324,ผู้ใดโดยเหตุที่ตนมีตำแหน่งหน้าที่ วิชาชีพ หรือ อาชีพอันเป็นที่ไว้วางใจ ล่วงรู้หรือได้มาซึ่งความลับของผู้อื่นเกี่ยว กับอุตสาหกรรม การค้นพบ หรือการนิมิตในวิทยาศาสตร์ เปิดเผยหรือ ใช้ความลับนั้น เพื่อประโยชน์ตนเองหรือผู้อื่น ต้องระวางโทษจำคุกไม่ เกินหกเดือน หรือปรับไม่เกินหนึ่งพันบาท หรือทั้งจำทั้งปรับ 
326,"ผู้ใดใส่ความผู้อื่นต่อบุคคลที่สาม โดยประการที่น่าจะ ทำให้ผู้อื่นนั้นเสียชื่อเสียง ถูกดูหมิ่นหรือถูกเกลียดชัง ผู้นั้นกระทำ
ความผิดฐานหมิ่นประมาท ต้องระวางโทษจำคุกไม่เกินหนึ่งปี หรือ ปรับไม่เกินสองหมื่นบาทหรือทั้งจำทั้งปรับ"
327,ผู้ใดใส่ความผู้ตายต่อบุคคลที่สามและการใส่ความนั้น น่าจะเป็นเหตุให้ บิดา มารดา คู่สมรส หรือบุตรของผู้ตายเสียชื่อเสียง ถูกดูหมิ่นหรือถูกเกลียดชัง ผู้นั้นกระทำความผิดฐานหมิ่นประมาท ต้องระวางโทษดังบัญญัติไว้ใน มาตรา 326 นั้น
328,ถ้าความผิดฐานหมิ่นประมาทได้กระทำโดยการโฆษณา ด้วยเอกสาร ภาพวาด ภาพระบายสี ภาพยนตร์ ภาพหรือตัวอักษรที่ ทำให้ปรากฏด้วยวิธีใด ๆ แผ่นเสียง หรือสิ่งบันทึกเสียง บันทึกภาพ หรือบันทึกอักษร กระทำโดยการกระจายเสียง หรือการกระจายภาพ หรือโดยกระทำการป่าวประกาศด้วยวิธีอื่น ผู้กระทำต้องระวางโทษ จำคุกไม่เกินสองปีและปรับไม่เกินสองแสนบาท
334,ผู้ใดเอาทรัพย์ของผู้อื่น หรือที่ผู้อื่นเป็นเจ้าของรวม อยู่ด้วยไปโดยทุจริต ผู้นั้นกระทำความผิดฐานลักทรัพย์ ต้องระวาง โทษจำคุกไม่เกินสามปี และปรับไม่เกินหกพันบาท
335,ผู้ใดลักทรัพย์
335(1),ผู้ใดลักทรัพย์ ในเวลากลางคืน
335(2),ผู้ใดลักทรัพย์ ในที่หรือบริเวณที่มีเหตุเพลิงไหม้ การระเบิด อุทกภัย หรือ ในที่หรือบริเวณที่มีอุบัติเหตุ เหตุทุกขภัยแก่รถไฟ หรือยานพาหนะ อื่นที่ประชาชนโดยสาร หรือภัยพิบัติอื่นทำนองเดียวกันหรืออาศัย โอกาสที่มีเหตุเช่นว่านั้น หรืออาศัยโอกาสที่ประชาชนกำลังตื่นกลัว ภยันตรายใด ๆ
335(3),ผู้ใดลักทรัพย์ โดยทำอันตรายสิ่งกีดกั้นสำหรับคุ้มครองบุคคลหรือทรัพย์ หรือโดยผ่านสิ่งเช่นว่านั้นเข้าไปด้วยประการใด ๆ
335(4),ผู้ใดลักทรัพย์ โดยเข้าทางช่องทางซึ่งได้ทำขึ้นโดยไม่ได้จำนงให้เป็นทาง คนเข้า หรือเข้าทางช่องทางซึ่งผู้เป็นใจเปิดไว้ให้
335(5),ผู้ใดลักทรัพย์ โดยแปลงตัวหรือปลอมตัวเป็นผู้อื่น มอมหน้าหรือทำด้วย ประการอื่นเพื่อไม่ให้เห็นหรือจำหน้าได้
335(6),ผู้ใดลักทรัพย์ โดยลวงว่าเป็นเจ้าพนักงาน
335(7),ผู้ใดลักทรัพย์ โดยมีอาวุธ หรือโดยร่วมกระทำความผิดด้วยกันตั้งแต่สอง คนขึ้นไป
335(8),ผู้ใดลักทรัพย์ ในเคหสถาน สถานที่ราชการหรือสถานที่ที่จัดไว้เพื่อให้ บริการสาธารณที่ตนได้เข้าไปโดยไม่ได้รับอนุญาต หรือซ่อนตัวอยู่ ในสถานที่นั้น ๆ
335(9),ผู้ใดลักทรัพย์ ในสถานที่บูชาสาธารณ สถานีรถไฟ ท่าอากาศยานที่จอดรถ หรือเรือสาธารณ สาธารณสถานสำหรับขนถ่ายสินค้า หรือในยวดยานสาธารณ
335(10),ผู้ใดลักทรัพย์  ที่ใช้หรือมีไว้เพื่อสาธารณประโยชน์
335(11),ผู้ใดลักทรัพย์ ที่เป็นของนายจ้างหรือที่อยู่ในความครอบครองของนายจ้าง
335(12),ผู้ใดลักทรัพย์ ที่เป็นของผู้มีอาชีพกสิกรรม บรรดาที่เป็นผลิตภัณฑ์ พืชพันธุ์ สัตว์หรือเครื่องมืออันมีไว้สำหรับประกอบกสิกรรมหรือได้มา จากการกสิกรรมนั้น
335ทวิ,"ผู้ใดลักทรัพย์ที่เป็นพระพุทธรูปหรือวัตถุใน ทางศาสนา ถ้าทรัพย์นั้นเป็นที่สักการะบูชาของประชาชน หรือเก็บ รักษาไว้เป็นสมบัติของชาติ หรือส่วนหนึ่งส่วนใดของพระพุทธรูป หรือวัตถุดังกล่าวต้องระวางโทษจำคุกตั้งแต่สามปีถึงสิบปี และปรับ ตั้งแต่หกพันบาทถึงสองหมื่นบาท
ถ้าการกระทำความผิดตามวรรคแรก ได้กระทำในวัด สำนักสงฆ์ สถานอันเป็นที่เคารพในทางศาสนา โบราณสถานอันเป็นทรัพย์สินของ แผ่นดิน สถานที่ราชการหรือพิพิธภัณฑสถานแห่งชาติ ผู้กระทำต้อง ระวางโทษจำคุกตั้งแต่ห้าปีถึงสิบห้าปี และปรับตั้งแต่หนึ่งหมื่นบาท ถึงสามหมื่นบาท"
336,"ผู้ใดลักทรัพย์โดยฉกฉวยเอาซึ่งหน้า ผู้นั้นกระทำ ความผิดฐานวิ่งราวทรัพย์ ต้องระวางโทษจำคุกไม่เกินห้าปีและปรับ ไม่เกินหนึ่งหมื่นบาท
ถ้าการวิ่งราวทรัพย์เป็นเหตุให้ผู้อื่นรับอันตรายแก่กายหรือจิตใจ ผู้กระทำต้องระวางโทษจำคุกตั้งแต่สองปีถึงเจ็ดปี และปรับตั้งแต่ สี่พันบาทถึงหนึ่งหมื่นสี่พันบาท
ถ้าการวิ่งราวทรัพย์เป็นเหตุให้ผู้อื่นรับอันตรายสาหัส ผู้กระทำ ต้องระวางโทษจำคุกตั้งแต่สามปีถึงสิบปี และปรับตั้งแต่หกพันบาท ถึงสองหมื่นบาท
ถ้าการวิ่งราวทรัพย์เป็นเหตุให้ผู้อื่นถึงแก่ความตาย ผู้กระทำต้อง ระวางโทษจำคุกตั้งแต่ห้าปีถึงสิบห้าปี และปรับตั้งแต่หนึ่งหมื่นบาท ถึงสามหมื่นบาท "
337(1),ผู้ใดข่มขืนใจผู้อื่นให้ยอมให้หรือยอมจะให้ตนหรือผู้อื่น ได้ประโยชน์ในลักษณะที่เป็นทรัพย์สิน โดยใช้กำลังประทุษร้ายหรือ โดยขู่เข็ญว่าจะทำอันตรายต่อชีวิต ร่างกาย เสรีภาพ ชื่อเสียงหรือ ทรัพย์สินของผู้ถูกขู่เข็ญ หรือของบุคคลที่สาม จนผู้ถูกข่มขืนใจยอม เช่นว่านั้น ผู้นั้นกระทำความผิดฐานกรรโชก ขู่ว่าจะฆ่า ขู่ว่าจะทำร้ายร่างกายให้ผู้ถูกข่มขืนใจหรือผู้อื่น ให้ได้รับอันตรายสาหัส หรือขู่ว่าจะทำให้เกิดเพลิงไหม้แก่ทรัพย์ของ ผู้ถูกข่มขืนใจหรือผู้อื่น
337(2),ผู้ใดข่มขืนใจผู้อื่นให้ยอมให้หรือยอมจะให้ตนหรือผู้อื่น ได้ประโยชน์ในลักษณะที่เป็นทรัพย์สิน โดยใช้กำลังประทุษร้ายหรือ โดยขู่เข็ญว่าจะทำอันตรายต่อชีวิต ร่างกาย เสรีภาพ ชื่อเสียงหรือ ทรัพย์สินของผู้ถูกขู่เข็ญ หรือของบุคคลที่สาม จนผู้ถูกข่มขืนใจยอม เช่นว่านั้น ผู้นั้นกระทำความผิดฐานกรรโชก มีอาวุธติดตัวมาขู่เข็ญ
338,ผู้ใดข่มขืนใจผู้อื่นให้ยอมให้หรือยอมจะให้ตนหรือผู้อื่น ได้ประโยชน์ในลักษณะที่เป็นทรัพย์สิน โดยการขู่เข็ญว่าจะเปิดเผย ความลับซึ่งการเปิดเผยนั้นจะทำให้ผู้ถูกขู่เข็ญหรือบุคคลที่สามเสียหาย จนผู้ถูกข่มขืนใจยอมเช่นว่านั้น ผู้นั้นกระทำความผิดฐานรีดเอาทรัพย์ ต้องระวางโทษจำคุกตั้งแต่หนึ่งปีถึงสิบปีและปรับตั้งแต่สองพันบาท ถึงสองหมื่นบาท 
339(1),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อให้ความสะดวกแก่การลักทรัพย์หรือการพาทรัพย์นั้นไป ผู้นั้นกระทำความผิดฐานชิงทรัพย์
339(2),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อให้ยื่นให้ซึ่งทรัพย์นั้น ผู้นั้นกระทำความผิดฐานชิงทรัพย์
339(3),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อยึดถือเอาทรัพย์นั้นไว้ ผู้นั้นกระทำความผิดฐานชิงทรัพย์
339(4),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อปกปิดการกระทำความผิดนั้น ผู้นั้นกระทำความผิดฐานชิงทรัพย์
339(5),ผู้ใดลักทรัพย์โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่า ในทันใดนั้นจะใช้กำลังประทุษร้าย เพื่อให้พ้นจากการจับกุม ผู้นั้นกระทำความผิดฐานชิงทรัพย์
340,ผู้ใดชิงทรัพย์โดยร่วมกันกระทำความผิดด้วยกันตั้งแต่ สามคนขึ้นไป ผู้นั้นกระทำความผิดฐานปล้นทรัพย์ ถ้าในการปล้นทรัพย์ผู้กระทำแม้แต่คนหนึ่งคนใด มีอาวุธติดตัวไป ถ้าการปล้นทรัพย์เป็นเหตุให้ผู้อื่นรับอันตรายสาหัส ถ้าการปล้นทรัพย์ได้กระทำโดยแสดงความทารุณ จนเป็นเหตุให้ ผู้อื่นรับอันตรายแก่กายหรือจิตใจ ใช้ปืนยิง ใช้วัตถุระเบิดหรือกระทำ ทรมานผู้ ถ้าการปล้นทรัพย์เป็นเหตุให้ผู้อื่นถึงแก่ความตาย
340ทวิ,"ถ้าการปล้นทรัพย์ได้กระทำต่อทรัพย์ตาม มาตรา 335ทวิ วรรคแรก ผู้กระทำต้องระวางโทษจำคุกตั้งแต่สิบปีถึงยี่สิบปี และปรับตั้งแต่สองหมื่นบาทถึงสี่หมื่นบาท
ถ้าการปล้นทรัพย์นั้นเป็นการกระทำในสถานที่ดังที่บัญญัติไว้ใน มาตรา 335ทวิ วรรคสอง ด้วย 
ผู้กระทำต้องระวางโทษจำคุกตั้งแต่ สิบห้าปีถึงยี่สิบปี และปรับตั้งแต่สามหมื่นบาทถึงสี่หมื่นบาท
ถ้าการปล้นทรัพย์ตามวรรคแรกหรือวรรคสอง ผู้กระทำแม้แต่ คนหนึ่งคนใดมีอาวุธติดตัวไปด้วย 
ผู้กระทำต้องระวางโทษจำคุกตลอดชีวิต หรือจำคุกตั้งแต่สิบห้าปีถึงยี่สิบปี
ถ้าการปล้นทรัพย์ตามวรรคแรกหรือวรรคสองเป็นเหตุให้ผู้อื่นรับ อันตรายสาหัส ผู้กระทำต้องระวางโทษจำคุกตลอดชีวิต
ถ้าการปล้นทรัพย์ตามวรรคแรกหรือวรรคสองได้กระทำโดยแสดง ความทารุณจนเป็นเหตุให้ผู้อื่นรับอันตรายแก่กายหรือจิตใจ ใช้ปืนยิง ใช้วัตถุระเบิดหรือกระทำทรมาน ผู้กระทำต้องระวางโทษประหารชีวิต หรือจำคุกตลอดชีวิต
ถ้าการปล้นทรัพย์ตามวรรคแรกหรือวรรคสองเป็นเหตุให้ผู้อื่นถึง แก่ความตาย ผู้กระทำต้องระวางโทษประหารชีวิต"
341,ผู้ใดโดยทุจริต หลอกลวงผู้อื่นด้วยการแสดงข้อความ อันเป็นเท็จ หรือปกปิดข้อความจริงซึ่งควรบอกให้แจ้งและโดยการหลอก ลวงดังว่านั้นได้ไปซึ่งทรัพย์สินจากผู้ถูกหลอกลวง หรือบุคคลที่สามหรือ ทำให้ผู้ถูกหลอกลวงหรือบุคคลที่สามทำ ถอนหรือทำลายเอกสารสิทธิ ผู้นั้นกระทำความผิดฐานฉ้อโกง ต้องระวางโทษจำคุกไม่เกินสามปี หรือ ปรับไม่เกินหกพันบาท หรือทั้งจำทั้งปรับ
342(1),ถ้าในการกระทำความผิดฐานฉ้อโกง ผู้กระทำแสดงตนเป็นคนอื่น
342(2),ถ้าในการกระทำความผิดฐานฉ้อโกง อาศัยความเบาปัญญาของผู้ถูกหลอกลวงซึ่งเป็นเด็ก หรืออาศัย ความอ่อนแอทางจิตของผู้ถูกหลอกลวง
